,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,Miami Dolphins,0,0,0,0.0,1,1,1,1,0,0,0,0,3.25,1.0,16.0,9.0,7.0,Baltimore Ravens,
1,New England Patriots,0,0,0,0.0,1,1,1,1,0,0,0,0,-1.875,1.0,18.0,8.0,10.0,Pittsburgh Steelers,
2,Cleveland Browns,0,0,0,0.0,1,1,1,1,0,0,0,0,-2.5,1.0,11.0,7.0,4.0,Tennessee Titans,
3,Pittsburgh Steelers,0,0,0,0.0,1,1,1,1,0,0,0,0,1.875,0.0,6.0,4.0,2.0,New England Patriots,
4,Baltimore Ravens,0,0,0,0.0,1,1,1,1,0,0,0,0,-3.25,0.0,9.0,5.0,4.0,Miami Dolphins,
5,Tennessee Titans,0,0,0,0.0,1,1,1,1,0,0,0,0,2.5,0.0,14.0,8.0,6.0,Cleveland Browns,
6,Indianapolis Colts,0,0,0,0.0,1,1,1,1,0,0,0,0,4.6,0.0,18.0,10.0,8.0,Los Angeles Chargers,
7,Houston Texans,0,0,0,0.0,1,1,1,1,0,0,0,0,5.2,0.0,17.0,8.0,9.0,New Orleans Saints,
8,Denver Broncos,0,0,0,0.0,1,1,1,1,0,0,0,0,-1.6666666666666667,0.0,18.0,11.0,7.0,Oakland Raiders,
9,Oakland Raiders,0,0,0,0.0,1,1,1,1,0,0,0,0,1.6666666666666667,1.0,13.0,8.0,5.0,Denver Broncos,
10,Los Angeles Chargers,0,0,0,0.0,1,1,1,1,0,0,0,0,-4.6,1.0,15.0,8.0,7.0,Indianapolis Colts,
11,Dallas Cowboys,0,0,0,0.0,1,1,1,1,0,0,0,0,-2.4,1.0,19.0,11.0,8.0,New York Giants,
12,New York Giants,0,0,0,0.0,1,1,1,1,0,0,0,0,2.4,0.0,19.0,8.0,11.0,Dallas Cowboys,
13,Philadelphia Eagles,0,0,0,0.0,1,1,1,1,0,0,0,0,-4.625,1.0,19.0,14.0,5.0,Washington Redskins,
14,Washington Redskins,0,0,0,0.0,1,1,1,1,0,0,0,0,4.625,0.0,19.0,10.0,9.0,Philadelphia Eagles,
15,Detroit Lions,0,0,0,0.0,1,1,1,1,0,0,0,0,6.5,0.0,10.0,7.0,3.0,Arizona Cardinals,
16,Minnesota Vikings,0,0,0,0.0,1,1,1,1,0,0,0,0,-1.1,1.0,7.0,3.0,4.0,Atlanta Falcons,
17,Atlanta Falcons,0,0,0,0.0,1,1,1,1,0,0,0,0,1.1,0.0,13.0,8.0,5.0,Minnesota Vikings,
18,New Orleans Saints,0,0,0,0.0,1,1,1,1,0,0,0,0,-5.2,1.0,14.0,8.0,6.0,Houston Texans,
19,Carolina Panthers,0,0,0,0.0,1,1,1,1,0,0,0,0,-1.5,1.0,7.0,3.0,4.0,Los Angeles Rams,
20,Los Angeles Rams,0,0,0,0.0,1,1,1,1,0,0,0,0,1.5,0.0,4.0,2.0,2.0,Carolina Panthers,
21,Arizona Cardinals,0,0,0,0.0,1,1,1,1,0,0,0,0,-6.5,1.0,14.0,7.0,7.0,Detroit Lions,
