,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,New England Patriots,9,4,0,0.6920000000000001,1.0,0.42857142857142855,0.75,0.6666666666666666,364,293,71,-1,-2.6,5.0,397.1,28.0,22.0,372.5,22.5,0.0,13.0,3.0,10.0,Pittsburgh Steelers,
1,Miami Dolphins,7,6,0,0.5379999999999999,0.8571428571428571,0.16666666666666666,0.8,0.6,278,333,-55,2,7.3,29.0,310.5,21.4,29.0,401.1,25.6,0.0,21.0,9.0,12.0,Minnesota Vikings,
2,Buffalo Bills,4,9,0,0.308,0.3333333333333333,0.2857142857142857,0.25,0.3,201,320,-119,-2,-2.2,31.0,292.0,15.5,1.0,290.6,24.6,1.0,12.0,6.0,6.0,Detroit Lions,
3,New York Jets,4,9,0,0.308,0.3333333333333333,0.2857142857142857,0.2,0.3,270,330,-60,1,6.5,30.0,296.9,20.8,23.0,375.8,25.4,1.0,17.0,10.0,7.0,Houston Texans,
4,Pittsburgh Steelers,7,5,1,0.5770000000000001,0.5,0.6666666666666666,0.75,0.4444444444444444,367,306,61,-3,2.6,4.0,408.1,28.2,7.0,330.8,23.5,1.0,16.0,6.0,10.0,New England Patriots,
5,Baltimore Ravens,7,6,0,0.5379999999999999,0.6666666666666666,0.42857142857142855,0.4,0.6,321,241,80,-1,-7.5,12.0,369.6,24.7,2.0,294.0,18.5,1.0,20.0,9.0,11.0,Tampa Bay Buccaneers,
6,Cleveland Browns,5,7,1,0.423,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.375,292,332,-40,1,2.6,15.0,359.4,22.5,31.0,411.2,25.5,0.0,15.0,6.0,9.0,Denver Broncos,
7,Cincinnati Bengals,5,8,0,0.385,0.42857142857142855,0.3333333333333333,0.25,0.3333333333333333,307,397,-90,-5,-3.0,26.0,328.7,23.6,32.0,421.9,30.5,1.0,22.0,8.0,14.0,Oakland Raiders,
8,Houston Texans,9,4,0,0.6920000000000001,0.7142857142857143,0.6666666666666666,0.6,0.7,323,259,64,-1,-6.5,13.0,369.5,24.8,13.0,348.8,19.9,0.0,16.0,10.0,6.0,New York Jets,
9,Indianapolis Colts,7,6,0,0.5379999999999999,0.6666666666666666,0.42857142857142855,0.6,0.5454545454545454,349,300,49,1,nan,8.0,382.4,26.8,11.0,345.3,23.1,1.0,22.0,10.0,12.0,Dallas Cowboys,
10,Tennessee Titans,7,6,0,0.5379999999999999,0.8333333333333334,0.2857142857142857,0.6,0.45454545454545453,251,254,-3,2,2.2,28.0,319.1,19.3,9.0,334.3,19.5,0.0,15.0,7.0,8.0,New York Giants,
11,Jacksonville Jaguars,4,9,0,0.308,0.42857142857142855,0.16666666666666666,0.2,0.3,212,273,-61,-1,-7.4,25.0,329.0,16.3,6.0,324.1,21.0,1.0,22.0,9.0,13.0,Washington Redskins,
