,Team,Total Injured,Non-IR,IR
0,Indianapolis,22,12,10
1,New England,20,9,11
2,Washington,19,8,11
3,Minnesota,18,9,9
4,San Francisco,18,11,7
5,Seattle,17,7,10
6,Tennessee,16,6,10
7,Pittsburgh,15,4,11
8,Houston,14,7,7
9,Oakland,14,4,10
10,LA Rams,13,6,7
11,NY Giants,13,5,8
12,Baltimore,13,3,10
13,Dallas,13,7,6
14,Carolina,13,5,8
15,Miami,12,7,5
16,Tampa Bay,12,4,8
17,Denver,12,5,7
18,Green Bay,12,5,7
19,Cincinnati,11,6,5
20,Cleveland,11,7,4
21,Arizona,10,4,6
22,LA Chargers,10,5,5
23,Philadelphia,10,2,8
24,Kansas City,9,3,6
25,Detroit,9,6,3
26,Jacksonville,9,3,6
27,Atlanta,9,5,4
28,Chicago,8,3,5
29,NY Jets,8,4,4
30,New Orleans,7,1,6
31,Buffalo,6,5,1
