,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_New York Jets,Home Team_New York Jets,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Denver Broncos,AT,Arizona Cardinals,-2.5,2.5,2.0,4.0,0.0,0.333,0.5,0.0,0.5,0.25,120.0,154.0,-34.0,-4.0,10.0,387.7,20.0,28,403.8,25.7,16.0,8.0,8.0,1.0,5.0,0.0,0.16699999999999998,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,82.0,139.0,-57.0,-1.0,32.0,220.5,13.7,25,394.3,23.2,21.0,16.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0
1,Tennessee Titans,AT,Los Angeles Chargers,6.5,-6.5,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.4,87.0,107.0,-20.0,-2.0,30.0,262.7,14.5,12,337.8,17.8,15.0,7.0,8.0,4.0,2.0,0.0,0.667,0.6666666666666666,0.6666666666666666,0.5,0.75,175.0,144.0,31.0,3.0,5.0,412.5,29.2,16,357.7,24.0,11.0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,Cleveland Browns,AT,Tampa Bay Buccaneers,3.0,-3.0,2.0,3.0,1.0,0.417,0.6666666666666666,0.0,1.0,0.5,128.0,151.0,-23.0,-1.0,18.0,366.2,21.3,29,406.5,25.2,12.0,6.0,6.0,2.0,3.0,0.0,0.4,0.5,0.3333333333333333,0.5,0.5,141.0,173.0,-32.0,-3.0,13.0,448.6,28.2,19,439.8,34.6,12.0,4.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
3,Carolina Panthers,AT,Philadelphia Eagles,4.3,-4.3,3.0,2.0,0.0,0.6,1.0,0.0,0.0,0.5,121.0,114.0,7.0,-1.0,28.0,361.8,24.2,4,358.0,22.8,12.0,3.0,9.0,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,137.0,117.0,20.0,1.0,17.0,366.3,22.8,15,352.8,19.5,16.0,7.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
4,Minnesota Vikings,AT,New York Jets,-3.0,3.0,3.0,2.0,1.0,0.583,0.6666666666666666,0.5,1.0,0.75,140.0,148.0,-8.0,2.0,8.0,391.2,23.3,18,359.8,24.7,13.0,6.0,7.0,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.4,165.0,139.0,26.0,2.0,22.0,340.5,27.5,23,381.0,23.2,12.0,8.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
5,Detroit Lions,AT,Miami Dolphins,-2.5,2.5,2.0,3.0,0.0,0.4,0.6666666666666666,0.0,1.0,0.3333333333333333,125.0,137.0,-12.0,1.0,27.0,365.2,25.0,5,367.8,27.4,11.0,7.0,4.0,4.0,2.0,0.0,0.667,1.0,0.3333333333333333,0.5,0.6,130.0,145.0,-15.0,1.0,23.0,330.3,21.7,26,396.7,24.2,13.0,6.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
6,New England Patriots,AT,Chicago Bears,-3.25,3.25,4.0,2.0,0.0,0.667,1.0,0.0,1.0,0.8,176.0,148.0,28.0,3.0,12.0,381.2,29.3,21,379.3,24.7,14.0,4.0,10.0,3.0,2.0,0.0,0.6,1.0,0.3333333333333333,0.0,0.75,139.0,96.0,43.0,-1.0,26.0,366.2,27.8,3,343.8,19.2,8.0,3.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
7,Buffalo Bills,AT,Indianapolis Colts,6.5,-6.5,2.0,4.0,0.0,0.333,0.5,0.25,1.0,0.25,76.0,138.0,-62.0,-1.0,31.0,222.5,12.7,8,311.7,23.0,6.0,5.0,1.0,1.0,5.0,0.0,0.16699999999999998,0.0,0.25,0.0,0.0,152.0,180.0,-28.0,-4.0,16.0,369.2,25.3,24,386.8,30.0,20.0,10.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,Houston Texans,AT,Jacksonville Jaguars,4.5,-4.5,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,135.0,137.0,-2.0,3.0,9.0,388.8,22.5,13,341.7,22.8,10.0,2.0,8.0,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.5,109.0,126.0,-17.0,-2.0,15.0,371.0,18.2,5,306.5,21.0,16.0,7.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
9,New Orleans Saints,AT,Baltimore Ravens,2.5,-2.5,4.0,1.0,0.0,0.8,0.6666666666666666,1.0,0.5,0.75,180.0,140.0,40.0,4.0,19.0,424.0,36.0,7,369.0,28.0,12.0,6.0,6.0,4.0,2.0,0.0,0.667,1.0,0.5,0.3333333333333333,0.6666666666666666,153.0,77.0,76.0,1.0,7.0,393.0,25.5,1,270.8,12.8,13.0,2.0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
