,Team Name,Avg Line,H/A
0,Carolina Panthers,3.7,0.0
1,Pittsburgh Steelers,-3.7,1.0
2,New Orleans Saints,-5.2,0.0
3,Cincinnati Bengals,5.2,1.0
4,Atlanta Falcons,-4.3,0.0
5,Cleveland Browns,4.3,1.0
6,Jacksonville Jaguars,2.8,0.0
7,Indianapolis Colts,-2.8,1.0
8,Detroit Lions,6.5,0.0
9,Chicago Bears,-6.5,1.0
10,Arizona Cardinals,16.5,0.0
11,Kansas City Chiefs,-16.5,1.0
12,New England Patriots,-6.5,0.0
13,Tennessee Titans,6.5,1.0
14,Washington Redskins,2.9,0.0
15,Tampa Bay Buccaneers,-2.9,1.0
16,Buffalo Bills,6.8,0.0
17,New York Jets,-6.8,1.0
18,Los Angeles Chargers,-9.8,0.0
19,Oakland Raiders,9.8,1.0
20,Miami Dolphins,9.4,0.0
21,Green Bay Packers,-9.4,1.0
22,Seattle Seahawks,9.8,0.0
23,Los Angeles Rams,-9.8,1.0
24,Dallas Cowboys,6.9,0.0
25,Philadelphia Eagles,-6.9,1.0
26,New York Giants,3.0,0.0
27,San Francisco 49ers,-3.0,1.0
