,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_New York Jets,Home Team_New York Jets,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Green Bay Packers,AT,Seattle Seahawks,3.1,-3.1,4.0,5.0,1.0,0.45,1.0,0.0,0.5,0.3333333333333333,247.0,243.0,4.0,-1.0,4.0,398.8,24.7,22.0,349.1,24.3,16.0,9.0,7.0,5.0,5.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.5714285714285714,246.0,216.0,30.0,1.0,12.0,351.1,24.6,21.0,348.1,21.6,15.0,6.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
1,Cincinnati Bengals,AT,Baltimore Ravens,4.0,-4.0,5.0,4.0,0.0,0.556,0.6,0.5,0.5,0.6,235.0,288.0,-53.0,-1.0,26.0,337.6,26.1,30.0,454.6,32.0,21.0,13.0,8.0,4.0,5.0,0.0,0.444,0.5,0.4,0.25,0.5714285714285714,213.0,160.0,53.0,-3.0,18.0,366.6,23.7,1.0,305.0,17.8,23.0,12.0,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,Carolina Panthers,AT,Detroit Lions,-4.5,4.5,6.0,3.0,0.0,0.667,1.0,0.25,0.5,0.6666666666666666,241.0,232.0,9.0,-1.0,21.0,357.2,26.8,11.0,357.2,25.8,16.0,7.0,9.0,3.0,6.0,0.0,0.333,0.5,0.2,0.3333333333333333,0.16666666666666666,202.0,244.0,-42.0,-3.0,24.0,347.6,22.4,14.0,362.1,27.1,14.0,10.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3,Tennessee Titans,AT,Indianapolis Colts,1.6,-1.6,5.0,4.0,0.0,0.556,0.75,0.4,1.0,0.42857142857142855,168.0,151.0,17.0,2.0,30.0,299.0,18.7,5.0,328.0,16.8,14.0,8.0,6.0,4.0,5.0,0.0,0.444,0.5,0.4,0.5,0.42857142857142855,260.0,239.0,21.0,3.0,13.0,379.8,28.9,18.0,376.2,26.6,23.0,12.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4,Dallas Cowboys,AT,Atlanta Falcons,3.3,-3.3,4.0,5.0,0.0,0.444,0.75,0.2,0.6666666666666666,0.5,181.0,171.0,10.0,1.0,29.0,327.4,20.1,6.0,328.6,19.0,19.0,11.0,8.0,4.0,5.0,0.0,0.444,0.6,0.25,0.6666666666666666,0.6666666666666666,244.0,254.0,-10.0,-1.0,8.0,408.9,27.1,27.0,414.3,28.2,12.0,7.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0
5,Tampa Bay Buccaneers,AT,New York Giants,2.5,-2.5,3.0,6.0,0.0,0.333,0.5,0.2,0.3333333333333333,0.3333333333333333,232.0,291.0,-59.0,-3.0,3.0,452.8,25.8,25.0,400.0,32.3,22.0,11.0,11.0,2.0,7.0,0.0,0.222,0.0,0.4,0.0,0.14285714285714285,177.0,228.0,-51.0,1.0,25.0,344.8,19.7,17.0,367.2,25.3,15.0,7.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
6,Houston Texans,AT,Washington Redskins,-2.9,2.9,6.0,3.0,0.0,0.667,0.75,0.6,0.6666666666666666,0.7142857142857143,216.0,184.0,32.0,6.0,17.0,369.1,24.0,9.0,336.3,20.4,16.0,10.0,6.0,6.0,3.0,0.0,0.667,0.6,0.75,1.0,0.75,176.0,175.0,1.0,1.0,27.0,337.4,19.6,13.0,361.0,19.4,25.0,13.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
7,Pittsburgh Steelers,AT,Jacksonville Jaguars,-5.4,5.4,6.0,2.0,1.0,0.722,0.6,1.0,0.75,0.6,279.0,209.0,70.0,5.0,5.0,419.9,31.0,8.0,336.1,23.2,16.0,5.0,11.0,3.0,6.0,0.0,0.333,0.4,0.25,0.0,0.3333333333333333,160.0,199.0,-39.0,-5.0,20.0,359.4,17.8,2.0,319.1,22.1,21.0,8.0,13.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
8,Denver Broncos,AT,Los Angeles Chargers,7.0,-7.0,3.0,6.0,0.0,0.333,0.4,0.25,0.3333333333333333,0.16666666666666666,205.0,213.0,-8.0,-2.0,14.0,377.1,22.8,16.0,364.0,23.7,18.0,10.0,8.0,7.0,2.0,0.0,0.778,0.75,0.8,0.6666666666666666,0.8333333333333334,240.0,186.0,54.0,6.0,11.0,392.1,26.7,10.0,356.6,20.7,14.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
9,Oakland Raiders,AT,Arizona Cardinals,5.4,-5.4,1.0,8.0,0.0,0.111,0.2,0.0,0.0,0.16666666666666666,147.0,272.0,-125.0,-5.0,22.0,349.7,16.3,24.0,399.1,30.2,21.0,9.0,12.0,2.0,7.0,0.0,0.222,0.2,0.25,0.5,0.2857142857142857,124.0,225.0,-101.0,-1.0,32.0,236.2,13.8,15.0,363.6,25.0,18.0,11.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0
