,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_New York Jets,Home Team_New York Jets,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Chicago Bears,AT,Detroit Lions,-2.9,2.9,7.0,3.0,0.0,0.7,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,294.0,195.0,99.0,4.0,16.0,357.9,29.4,3.0,314.4,19.5,9.0,4.0,5.0,4.0,6.0,0.0,0.4,0.6,0.2,0.3333333333333333,0.2857142857142857,222.0,263.0,-41.0,1.0,24.0,343.7,22.2,19.0,364.6,26.3,14.0,10.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
1,Washington Redskins,AT,Dallas Cowboys,7.1,-7.1,6.0,4.0,0.0,0.6,0.5,0.75,1.0,0.75,197.0,198.0,-1.0,-1.0,25.0,331.5,19.7,15.0,356.9,19.8,23.0,10.0,13.0,5.0,5.0,0.0,0.5,0.75,0.3333333333333333,0.6666666666666666,0.5714285714285714,203.0,190.0,13.0,2.0,27.0,327.0,20.3,8.0,331.1,19.0,22.0,14.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,Atlanta Falcons,AT,New Orleans Saints,12.3,-12.3,4.0,6.0,0.0,0.4,0.5,0.25,0.6666666666666666,0.5714285714285714,263.0,276.0,-13.0,-2.0,6.0,403.4,26.3,28.0,405.2,27.6,12.0,7.0,5.0,9.0,1.0,0.0,0.9,0.8,1.0,0.5,0.8571428571428571,378.0,239.0,139.0,9.0,4.0,427.1,37.8,16.0,358.2,23.9,22.0,12.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
3,San Francisco 49ers,AT,Tampa Bay Buccaneers,3.5,-3.5,2.0,8.0,0.0,0.2,0.4,0.0,0.0,0.14285714285714285,230.0,266.0,-36.0,-1.0,17.0,356.5,23.0,10.0,344.2,26.6,13.0,6.0,7.0,3.0,7.0,0.0,0.3,0.5,0.16666666666666666,0.3333333333333333,0.2857142857142857,267.0,329.0,-62.0,-4.0,3.0,458.5,26.7,27.0,395.9,32.9,19.0,7.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.0
4,New England Patriots,AT,New York Jets,-9.5,9.5,7.0,3.0,0.0,0.7,1.0,0.4,1.0,0.7142857142857143,280.0,236.0,44.0,-1.0,10.0,377.2,28.0,23.0,381.4,23.6,19.0,8.0,11.0,3.0,7.0,0.0,0.3,0.4,0.2,0.0,0.2857142857142857,208.0,254.0,-46.0,-4.0,29.0,299.4,20.8,18.0,361.6,25.4,13.0,8.0,5.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
5,New York Giants,AT,Philadelphia Eagles,5.7,-5.7,3.0,7.0,0.0,0.3,0.2,0.4,0.0,0.25,215.0,263.0,-48.0,2.0,23.0,346.2,21.5,24.0,381.5,26.3,12.0,4.0,8.0,4.0,6.0,0.0,0.4,0.4,0.4,0.5,0.2857142857142857,205.0,231.0,-26.0,-2.0,19.0,355.2,20.5,22.0,377.9,23.1,19.0,9.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
6,Oakland Raiders,AT,Baltimore Ravens,10.6,-10.6,2.0,8.0,0.0,0.2,0.2,0.2,0.0,0.16666666666666666,170.0,293.0,-123.0,1.0,22.0,347.2,17.0,25.0,387.4,29.3,19.0,6.0,13.0,5.0,5.0,0.0,0.5,0.6,0.4,0.4,0.625,237.0,181.0,56.0,1.0,12.0,370.2,23.7,1.0,300.0,18.1,17.0,5.0,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
7,Jacksonville Jaguars,AT,Buffalo Bills,-3.2,3.2,3.0,7.0,0.0,0.3,0.3333333333333333,0.25,0.0,0.2857142857142857,176.0,219.0,-43.0,-6.0,21.0,347.8,17.6,4.0,319.5,21.9,18.0,5.0,13.0,3.0,7.0,0.0,0.3,0.25,0.3333333333333333,0.5,0.2857142857142857,137.0,251.0,-114.0,1.0,31.0,268.6,13.7,2.0,302.2,25.1,12.0,9.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,Seattle Seahawks,AT,Carolina Panthers,3.4,-3.4,5.0,5.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.5714285714285714,246.0,216.0,30.0,1.0,20.0,351.1,24.6,11.0,348.1,21.6,15.0,6.0,9.0,6.0,4.0,0.0,0.6,1.0,0.2,0.5,0.5714285714285714,260.0,252.0,8.0,-2.0,15.0,360.2,26.0,13.0,352.4,25.2,18.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1.0
9,Cleveland Browns,AT,Cincinnati Bengals,3.0,-3.0,3.0,6.0,1.0,0.35,0.6,0.0,0.5,0.3333333333333333,218.0,263.0,-45.0,1.0,18.0,355.4,21.8,30.0,419.7,26.3,12.0,4.0,8.0,5.0,5.0,0.0,0.5,0.6,0.4,0.3333333333333333,0.5,256.0,312.0,-56.0,-2.0,26.0,329.3,25.6,31.0,449.4,31.2,17.0,8.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
