,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,New England Patriots,9,3,0,.750,6-0,3-3,3-0,6-2,331,259,+72,W2
1,Miami Dolphins,6,6,0,.500,5-1,1-5,3-1,5-4,244,300,-56,W1
2,Buffalo Bills,4,8,0,.333,2-3,2-5,1-2,3-6,178,293,-115,L1
3,New York Jets,3,9,0,.250,2-4,1-5,0-4,2-7,243,307,-64,L6
4,Pittsburgh Steelers,7,4,1,.625,3-3,4-1-1,3-1-1,4-4-1,346,282,+64,L2
5,Baltimore Ravens,7,5,0,.583,4-2,3-3,2-3,6-3,297,214,+83,W3
6,Cincinnati Bengals,5,7,0,.417,3-4,2-3,1-3,3-5,286,371,-85,L4
7,Cleveland Browns,4,7,1,.375,3-2-1,1-5,2-1-1,3-5-1,266,312,-46,L1
8,Houston Texans,9,3,0,.750,5-1,4-2,3-1,7-2,302,235,+67,W9
9,Indianapolis Colts,6,6,0,.500,4-2,2-4,2-2,5-5,325,279,+46,L1
10,Tennessee Titans,6,6,0,.500,4-1,2-5,2-2,4-6,221,245,-24,W1
11,Jacksonville Jaguars,4,8,0,.333,3-4,1-4,1-3,3-6,203,243,-40,W1
12,Kansas City Chiefs,10,2,0,.833,5-0,5-2,4-0,8-1,444,327,+117,W1
13,Los Angeles Chargers,9,3,0,.750,4-2,5-1,2-2,6-2,340,249,+91,W2
14,Denver Broncos,6,6,0,.500,3-3,3-3,2-2,4-5,276,262,+14,W3
15,Oakland Raiders,2,10,0,.167,1-5,1-5,0-4,1-7,220,367,-147,L2
16,Dallas Cowboys,7,5,0,.583,5-1,2-4,3-1,6-3,247,223,+24,W4
17,Philadelphia Eagles,6,6,0,.500,4-3,2-3,3-1,4-5,258,266,-8,W2
18,Washington Redskins,6,6,0,.500,3-3,3-3,2-2,6-4,233,257,-24,L3
19,New York Giants,4,8,0,.333,2-4,2-4,0-4,3-7,267,315,-48,W1
20,Chicago Bears,8,4,0,.667,5-1,3-3,3-1,6-2,344,241,+103,L1
21,Minnesota Vikings,6,5,1,.542,4-2,2-3-1,2-1-1,5-3-1,275,270,+5,L1
22,Green Bay Packers,4,7,1,.375,4-1-1,0-6,1-2-1,2-6-1,281,287,-6,L3
23,Detroit Lions,4,8,0,.333,3-4,1-4,1-3,2-7,254,316,-62,L2
24,New Orleans Saints,10,2,0,.833,5-1,5-1,2-1,7-2,419,269,+150,L1
25,Carolina Panthers,6,6,0,.500,5-1,1-5,1-2,4-5,304,306,-2,L4
26,Tampa Bay Buccaneers,5,7,0,.417,4-2,1-5,2-2,4-5,318,355,-37,W2
27,Atlanta Falcons,4,8,0,.333,3-4,1-4,2-2,4-4,296,333,-37,L4
28,z --LARLos Angeles Rams,11,1,0,.917,6-0,5-1,4-0,7-1,419,298,+121,W3
29,Seattle Seahawks,7,5,0,.583,3-2,4-3,2-2,6-3,319,259,+60,W3
30,Arizona Cardinals,3,9,0,.250,1-5,2-4,2-2,3-5,175,310,-135,W1
31,San Francisco 49ers,2,10,0,.167,2-3,0-7,0-4,1-8,255,336,-81,L3
