,Team,Total Injured,Non-IR,IR
0,Houston,21,13,8
1,Indianapolis,21,10,11
2,Oakland,21,10,11
3,Denver,20,11,9
4,Washington,20,9,11
5,Miami,19,10,9
6,Jacksonville,19,8,11
7,New England,17,7,10
8,Philadelphia,17,6,11
9,Seattle,17,8,9
10,New Orleans,16,8,8
11,Dallas,16,8,8
12,Baltimore,16,5,11
13,Pittsburgh,15,4,11
14,Minnesota,15,8,7
15,Kansas City,15,3,12
16,NY Jets,14,8,6
17,Cincinnati,14,7,7
18,San Francisco,14,7,7
19,Carolina,14,5,9
20,Green Bay,14,7,7
21,Tampa Bay,12,3,9
22,Arizona,12,7,5
23,Tennessee,11,5,6
24,LA Rams,11,2,9
25,NY Giants,10,1,9
26,LA Chargers,9,4,5
27,Cleveland,9,3,6
28,Atlanta,8,2,6
29,Chicago,7,3,4
30,Buffalo,6,5,1
31,Detroit,6,2,4
