Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Deion Jones,ATL,LB,Foot,I-R,Jones has landed on injured reserve with a foot injury and it is unknown if he will be activated against the Browns in Week 10.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Takkarist McKinley,ATL,DE,Leg,questionable,McKinley left the game against the Steelers with cramps in his right leg and it is undetermined if he will play Sunday against the Buccaneers.
Devonta Freeman,ATL,RB,Foot,doubtful,Freeman was confined to a limited role in practice due to a bone bruise in his foot and his status for Sunday's matchup against the Buccaneers is in doubt.
Mohamed Sanu,ATL,WR,Hip,probable,Sanu is expected to play Sunday against the Buccaneers despite a hip injury.
Derrick Shelby,ATL,DE,Groin,questionable,Shelby has missed his last three games due to a groin injury and may not participate in Sunday's contest against the Buccaneers.
Matt Ryan,ATL,QB,Foot,probable,Ryan has a foot injury but is expected to be available for Sunday's game against the Buccaneers.
Justin Bethel,ATL,CB,Knee,questionable,Bethel has missed the last two games with a knee injury and may not suit up for Sunday's matchup against the Buccaneers.
Grady Jarrett,ATL,DT,Ankle,out,Jarrett exited the last game due to a sprained ankle and will be held out of action until sometime near the end of October.
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Micah Hyde,BUF,S,Groin,probable,Hyde is dealing with a groin injury but is expected to play Sunday against the Texans.
TreDavious White,BUF,CB,Ankle,probable,White has an ankle injury but it is likely he will play Sunday against the Texans.
John Miller,BUF,G,Ankle,questionable,Miller is tending to an ankle injury and it is undetermined if he will take part in Sunday's matchup against the Texans.
Marcus Murphy,BUF,RB,Ribs,questionable,Murphy has a rib injury and may not return for Sunday's game against the Texans.
Corey Bojorquez,BUF,P,Shoulder,questionable,Bojorquez hurt his shoulder during Sunday's game against the Titans and his status for Sunday's matchup against the Texans is uncertain.
Charles Clay,BUF,TE,Ankle,questionable,Clay has an ankle injury and it is unclear if he will return for Sunday's game against the Texans.
Rafael Bush,BUF,S,Shoulder,questionable,Bush is dealing with a shoulder injury and may not suit up for Sunday's contest against the Texans.
