RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Baltimore,1625,270.8,1128,188.0,497,82.8,77,12.8
2,Washington,1631,326.2,1180,236.0,451,90.2,104,20.8
3,Chicago,1719,343.8,1302,260.4,417,83.4,96,19.2
4,Carolina,1790,358.0,1278,255.6,512,102.4,114,22.8
5,Detroit,1839,367.8,1110,222.0,729,145.8,137,27.4
 ,Jacksonville,1839,306.5,1127,187.8,712,118.7,126,21.0
7,New Orleans,1845,369.0,1488,297.6,357,71.4,140,28.0
8,Buffalo,1870,311.7,1315,219.2,555,92.5,138,23.0
9,Dallas,1891,315.2,1347,224.5,544,90.7,103,17.2
10,Seattle,1960,326.7,1236,206.0,724,120.7,117,19.5
11,Green Bay,1970,328.3,1271,211.8,699,116.5,144,24.0
12,Tennessee,2027,337.8,1288,214.7,739,123.2,107,17.8
13,Houston,2050,341.7,1475,245.8,575,95.8,137,22.8
14,LA Rams,2064,344.0,1470,245.0,594,99.0,118,19.7
15,Philadelphia,2117,352.8,1638,273.0,479,79.8,117,19.5
16,LA Chargers,2146,357.7,1565,260.8,581,96.8,144,24.0
17,NY Giants,2148,358.0,1418,236.3,730,121.7,162,27.0
18,Minnesota,2159,359.8,1601,266.8,558,93.0,148,24.7
19,Tampa Bay,2199,439.8,1778,355.6,421,84.2,173,34.6
20,San Francisco,2263,377.2,1674,279.0,589,98.2,179,29.8
21,New England,2276,379.3,1612,268.7,664,110.7,148,24.7
22,Pittsburgh,2281,380.2,1694,282.3,587,97.8,154,25.7
23,NY Jets,2286,381.0,1634,272.3,652,108.7,139,23.2
24,Indianapolis,2321,386.8,1680,280.0,641,106.8,180,30.0
25,Arizona,2366,394.3,1459,243.2,907,151.2,139,23.2
26,Miami,2380,396.7,1671,278.5,709,118.2,145,24.2
27,Oakland,2391,398.5,1600,266.7,791,131.8,176,29.3
28,Denver,2423,403.8,1455,242.5,968,161.3,154,25.7
29,Cleveland,2439,406.5,1610,268.3,829,138.2,151,25.2
30,Cincinnati,2455,409.2,1752,292.0,703,117.2,158,26.3
31,Atlanta,2505,417.5,1775,295.8,730,121.7,192,32.0
32,Kansas City,2809,468.2,2042,340.3,767,127.8,172,28.7
