RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,LA Rams,3541,442.6,2334,291.8,1207,150.9,264,33.0
2,Kansas City,3402,425.3,2483,310.4,919,114.9,290,36.3
3,Tampa Bay,3273,467.6,2634,376.3,639,91.3,201,28.7
4,Minnesota,3086,385.8,2389,298.6,697,87.1,197,24.6
5,New England,3055,381.9,2133,266.6,922,115.3,239,29.9
6,Indianapolis,3052,381.5,2111,263.9,941,117.6,231,28.9
7,Denver,3046,380.8,1981,247.6,1065,133.1,188,23.5
8,Baltimore,3034,379.3,2261,282.6,773,96.6,197,24.6
9,Houston,3032,379.0,2048,256.0,984,123.0,197,24.6
10,Philadelphia,2935,366.9,2082,260.3,853,106.6,178,22.3
11,Pittsburgh,2927,418.1,2227,318.1,700,100.0,204,29.1
12,Green Bay,2885,412.1,2157,308.1,728,104.0,175,25.0
13,NY Giants,2826,353.3,2203,275.4,623,77.9,150,18.8
14,Jacksonville,2820,352.5,2060,257.5,760,95.0,134,16.8
15,LA Chargers,2819,402.7,1948,278.3,871,124.4,195,27.9
16,Atlanta,2807,401.0,2224,317.7,583,83.3,190,27.1
17,San Francisco,2786,348.3,1717,214.6,1069,133.6,173,21.6
18,Cincinnati,2754,344.3,2012,251.5,742,92.8,221,27.6
19,Cleveland,2739,342.4,1720,215.0,1019,127.4,169,21.1
20,New Orleans,2729,389.9,1973,281.9,756,108.0,234,33.4
21,Chicago,2679,382.7,1716,245.1,963,137.6,194,27.7
22,Miami,2674,334.3,1810,226.3,864,108.0,174,21.8
23,Detroit,2614,373.4,1846,263.7,768,109.7,171,24.4
24,Oakland,2588,369.7,1930,275.7,658,94.0,138,19.7
25,Carolina,2566,366.6,1594,227.7,972,138.9,178,25.4
26,NY Jets,2513,314.1,1603,200.4,910,113.8,192,24.0
27,Washington,2385,340.7,1489,212.7,896,128.0,146,20.9
28,Seattle,2363,337.6,1420,202.9,943,134.7,171,24.4
29,Dallas,2240,320.0,1282,183.1,958,136.9,140,20.0
30,Buffalo,1971,246.4,1193,149.1,778,97.3,87,10.9
31,Tennessee,1966,280.9,1211,173.0,755,107.9,106,15.1
32,Arizona,1866,233.3,1326,165.8,540,67.5,110,13.8
