,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,New England Patriots,5,2,0,.714,4-0,1-2,1-0,4-1,214,179,+35,W4
1,Miami Dolphins,4,3,0,.571,3-1,1-2,1-1,3-2,151,177,-26,L1
2,New York Jets,3,4,0,.429,2-2,1-2,0-1,2-3,182,176,+6,L1
3,Buffalo Bills,2,5,0,.286,1-1,1-4,0-0,1-4,81,175,-94,L2
4,Pittsburgh Steelers,3,2,1,.583,1-2,2-0-1,1-1-1,1-2-1,171,154,+17,W2
5,Cincinnati Bengals,4,3,0,.571,2-1,2-2,1-1,3-2,184,203,-19,L2
6,Baltimore Ravens,4,3,0,.571,2-1,2-2,1-2,4-2,176,101,+75,L1
7,Cleveland Browns,2,4,1,.357,2-1-1,0-3,1-0-1,2-2-1,151,177,-26,L2
8,Houston Texans,4,3,0,.571,2-1,2-2,2-1,3-2,155,144,+11,W4
9,Tennessee Titans,3,4,0,.429,2-1,1-3,2-0,2-4,106,127,-21,L3
10,Jacksonville Jaguars,3,4,0,.429,2-2,1-2,0-2,2-3,116,146,-30,L3
11,Indianapolis Colts,2,5,0,.286,1-2,1-3,0-1,1-4,189,185,+4,W1
12,Kansas City Chiefs,6,1,0,.857,3-0,3-1,2-0,5-1,260,182,+78,W1
13,Los Angeles Chargers,5,2,0,.714,3-1,2-1,1-1,4-1,195,163,+32,W4
14,Denver Broncos,3,4,0,.429,2-2,1-2,1-1,1-3,165,164,+1,W1
15,Oakland Raiders,1,5,0,.167,1-2,0-3,0-2,1-3,110,176,-66,L2
16,Washington Redskins,4,2,0,.667,3-1,1-1,1-0,4-1,126,121,+5,W2
17,Philadelphia Eagles,3,4,0,.429,2-2,1-2,1-0,2-3,154,138,+16,L1
18,Dallas Cowboys,3,4,0,.429,3-0,0-4,1-1,2-3,140,123,+17,L1
19,New York Giants,1,6,0,.143,0-3,1-3,0-2,0-5,137,185,-48,L4
20,Minnesota Vikings,4,2,1,.643,2-1,2-1-1,0-0-1,3-1-1,177,165,+12,W3
21,Green Bay Packers,3,2,1,.583,3-0-1,0-2,1-1-1,2-2-1,148,144,+4,W1
22,Detroit Lions,3,3,0,.500,2-1,1-2,1-0,1-2,157,158,-1,W2
23,Chicago Bears,3,3,0,.500,2-1,1-2,0-1,3-1,170,134,+36,L2
24,New Orleans Saints,5,1,0,.833,2-1,3-0,1-1,3-1,204,163,+41,W5
25,Carolina Panthers,4,2,0,.667,3-0,1-2,0-1,3-2,142,131,+11,W1
26,Tampa Bay Buccaneers,3,3,0,.500,2-1,1-2,1-1,2-2,167,196,-29,W1
27,Atlanta Falcons,3,4,0,.429,3-2,0-2,2-1,3-2,190,212,-22,W2
28,Los Angeles Rams,7,0,0,1.000,3-0,4-0,3-0,4-0,235,128,+107,W7
29,Seattle Seahawks,3,3,0,.500,1-1,2-2,1-1,2-2,143,117,+26,W1
30,Arizona Cardinals,1,6,0,.143,0-4,1-2,1-2,1-5,92,184,-92,L2
31,San Francisco 49ers,1,6,0,.143,1-2,0-4,0-2,1-4,158,218,-60,L5
