,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_New York Jets,Home Team_New York Jets,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_New York Giants,Home Team_New York Giants,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Winner
0,Los Angeles Rams,AT,Carolina Panthers,1.5,-1.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
1,Tennessee Titans,AT,Cleveland Browns,2.5,-2.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Baltimore Ravens,AT,Miami Dolphins,-3.25,3.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,16.0,9.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Atlanta Falcons,AT,Minnesota Vikings,1.1,-1.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Washington Redskins,AT,Philadelphia Eagles,4.625,-4.625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0,14.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Indianapolis Colts,AT,Los Angeles Chargers,4.6,-4.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,15.0,8.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Detroit Lions,AT,Arizona Cardinals,6.5,-6.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,14.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
7,New York Giants,AT,Dallas Cowboys,2.4,-2.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0,11.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Pittsburgh Steelers,AT,New England Patriots,1.875,-1.875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0,8.0,10.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Houston Texans,AT,New Orleans Saints,5.2,-5.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,14.0,8.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
