,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_New York Jets,Home Team_New York Jets,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Carolina Panthers,AT,Pittsburgh Steelers,3.7,-3.7,6.0,2.0,0.0,0.75,1.0,0.3333333333333333,0.5,0.6666666666666666,220.0,180.0,40.0,3.0,17.0,371.6,27.5,8.0,344.8,22.5,19.0,10.0,9.0,5.0,2.0,1.0,0.688,0.5,1.0,0.75,0.6,227.0,188.0,39.0,4.0,7.0,415.3,28.4,9.0,347.9,23.5,17.0,6.0,11.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,New Orleans Saints,AT,Cincinnati Bengals,-5.2,5.2,7.0,1.0,0.0,0.875,0.75,1.0,0.5,0.8333333333333334,279.0,218.0,61.0,7.0,12.0,402.0,34.9,20.0,387.8,27.3,13.0,4.0,9.0,5.0,3.0,0.0,0.625,0.75,0.5,0.5,0.6,221.0,237.0,-16.0,1.0,26.0,344.3,27.6,30.0,447.8,29.6,18.0,10.0,8.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Atlanta Falcons,AT,Cleveland Browns,-4.3,4.3,4.0,4.0,0.0,0.5,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,228.0,226.0,2.0,3.0,10.0,412.3,28.5,26.0,412.8,28.3,10.0,4.0,6.0,2.0,6.0,1.0,0.278,0.5,0.0,0.5,0.3333333333333333,190.0,247.0,-57.0,-4.0,15.0,347.4,21.1,31.0,423.9,27.4,15.0,7.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
3,Jacksonville Jaguars,AT,Indianapolis Colts,2.8,-2.8,3.0,5.0,0.0,0.375,0.4,0.3333333333333333,0.0,0.4,134.0,170.0,-36.0,-4.0,24.0,352.5,16.8,1.0,313.3,21.3,22.0,10.0,12.0,3.0,5.0,0.0,0.375,0.3333333333333333,0.4,0.0,0.3333333333333333,231.0,213.0,18.0,2.0,16.0,381.5,28.9,18.0,371.4,26.6,20.0,8.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Detroit Lions,AT,Chicago Bears,6.5,-6.5,3.0,5.0,0.0,0.375,0.5,0.25,0.5,0.2,180.0,210.0,-30.0,-2.0,23.0,352.9,22.5,13.0,357.1,26.3,4.0,1.0,3.0,5.0,3.0,0.0,0.625,0.75,0.5,0.0,0.75,235.0,153.0,82.0,2.0,19.0,358.6,29.4,3.0,321.4,19.1,12.0,7.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Arizona Cardinals,AT,Kansas City Chiefs,16.5,-16.5,2.0,6.0,0.0,0.25,0.2,0.3333333333333333,0.5,0.2857142857142857,110.0,199.0,-89.0,1.0,32.0,233.3,13.8,17.0,367.8,24.9,11.0,5.0,6.0,8.0,1.0,0.0,0.889,1.0,0.8,1.0,0.875,327.0,226.0,101.0,3.0,2.0,433.4,36.3,32.0,427.4,25.1,18.0,7.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
6,New England Patriots,AT,Tennessee Titans,-6.5,6.5,7.0,2.0,0.0,0.778,1.0,0.5,1.0,0.8333333333333334,270.0,202.0,68.0,6.0,4.0,387.6,30.0,28.0,381.1,22.4,19.0,7.0,12.0,4.0,4.0,0.0,0.5,0.6666666666666666,0.4,1.0,0.3333333333333333,134.0,141.0,-7.0,1.0,30.0,288.3,16.8,5.0,333.5,17.6,11.0,5.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Washington Redskins,AT,Tampa Bay Buccaneers,2.9,-2.9,5.0,3.0,0.0,0.625,0.6,0.6666666666666666,1.0,0.7142857142857143,160.0,172.0,-12.0,-1.0,27.0,343.9,20.0,7.0,343.5,21.5,22.0,8.0,14.0,3.0,5.0,0.0,0.375,0.6666666666666666,0.2,0.3333333333333333,0.4,229.0,275.0,-46.0,-2.0,3.0,446.8,28.6,27.0,414.3,34.4,13.0,4.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
8,Buffalo Bills,AT,New York Jets,6.8,-6.8,2.0,7.0,0.0,0.222,0.25,0.2,0.0,0.16666666666666666,96.0,241.0,-145.0,-4.0,31.0,248.3,10.7,11.0,313.7,26.8,9.0,6.0,3.0,3.0,6.0,0.0,0.33299999999999996,0.5,0.2,0.0,0.3333333333333333,198.0,213.0,-15.0,-3.0,25.0,310.6,22.0,22.0,351.7,23.7,12.0,8.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Los Angeles Chargers,AT,Oakland Raiders,-9.8,9.8,6.0,2.0,0.0,0.75,0.75,0.75,0.5,0.8,220.0,180.0,40.0,5.0,13.0,399.3,27.5,14.0,361.5,22.5,9.0,3.0,6.0,1.0,7.0,0.0,0.125,0.25,0.0,0.0,0.2,141.0,252.0,-111.0,-4.0,21.0,353.8,17.6,24.0,407.1,31.5,14.0,2.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
