,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_New York Jets,Home Team_New York Jets,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_z --LARLos Angeles Rams,Home Team_z --LARLos Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Jacksonville Jaguars,AT,Tennessee Titans,5.4,-5.4,4.0,8.0,0.0,0.33299999999999996,0.42857142857142855,0.2,0.25,0.3333333333333333,203.0,243.0,-40.0,1.0,24.0,335.2,16.9,3.0,315.6,20.3,24.0,11.0,13.0,6.0,6.0,0.0,0.5,0.8,0.2857142857142857,0.5,0.4,221.0,245.0,-24.0,1.0,28.0,310.2,18.4,9.0,340.9,20.4,13.0,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,New York Jets,AT,Buffalo Bills,3.3,-3.3,3.0,9.0,0.0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,243.0,307.0,-64.0,-6.0,30.0,301.0,20.3,23.0,376.4,25.6,15.0,8.0,7.0,4.0,8.0,0.0,0.33299999999999996,0.4,0.2857142857142857,0.3333333333333333,0.3333333333333333,178.0,293.0,-115.0,-1.0,31.0,285.7,14.8,2.0,294.2,24.4,9.0,5.0,4.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,New York Giants,AT,Washington Redskins,-3.5,3.5,4.0,8.0,0.0,0.33299999999999996,0.3333333333333333,0.3333333333333333,0.0,0.3,267.0,315.0,-48.0,1.0,21.0,350.2,22.3,24.0,377.7,26.3,16.0,6.0,10.0,6.0,6.0,0.0,0.5,0.5,0.5,0.5,0.6,233.0,257.0,-24.0,-3.0,27.0,323.4,19.4,19.0,367.4,21.4,30.0,13.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,New Orleans Saints,AT,Tampa Bay Buccaneers,-8.1,8.1,10.0,2.0,0.0,0.833,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7777777777777778,419.0,269.0,150.0,-1.0,6.0,396.6,34.9,16.0,354.7,22.4,18.0,8.0,10.0,5.0,7.0,0.0,0.41700000000000004,0.6666666666666666,0.16666666666666666,0.5,0.4444444444444444,318.0,355.0,-37.0,2.0,1.0,442.7,26.5,27.0,395.4,29.6,23.0,11.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
4,New England Patriots,AT,Miami Dolphins,-7.5,7.5,9.0,3.0,0.0,0.75,1.0,0.5,1.0,0.75,331.0,259.0,72.0,2.0,7.0,395.1,27.6,22.0,369.2,21.6,15.0,5.0,10.0,6.0,6.0,0.0,0.5,0.8333333333333334,0.16666666666666666,0.75,0.5555555555555556,244.0,300.0,-56.0,1.0,29.0,302.1,20.3,29.0,399.4,25.0,18.0,7.0,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Baltimore Ravens,AT,Kansas City Chiefs,6.7,-6.7,7.0,5.0,0.0,0.583,0.6666666666666666,0.5,0.4,0.6666666666666666,297.0,214.0,83.0,3.0,13.0,373.7,24.8,1.0,281.7,17.8,23.0,12.0,11.0,10.0,2.0,0.0,0.833,1.0,0.7142857142857143,1.0,0.8888888888888888,444.0,327.0,117.0,1.0,3.0,437.2,37.0,31.0,417.0,27.3,15.0,4.0,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,Indianapolis Colts,AT,Houston Texans,4.5,-4.5,6.0,6.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,325.0,279.0,46.0,-1.0,9.0,377.9,27.1,11.0,347.8,23.3,26.0,13.0,13.0,9.0,3.0,0.0,0.75,0.8333333333333334,0.6666666666666666,0.75,0.7777777777777778,302.0,235.0,67.0,9.0,12.0,374.0,25.2,10.0,341.5,19.6,18.0,13.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Carolina Panthers,AT,Cleveland Browns,-2.1,2.1,6.0,6.0,0.0,0.5,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.4444444444444444,304.0,306.0,-2.0,-4.0,11.0,376.8,25.3,14.0,353.0,25.5,20.0,8.0,12.0,4.0,7.0,1.0,0.375,0.6,0.16666666666666666,0.6666666666666666,0.375,266.0,312.0,-46.0,-1.0,18.0,360.3,22.2,30.0,412.8,26.0,16.0,9.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Atlanta Falcons,AT,Green Bay Packers,5.4,-5.4,4.0,8.0,0.0,0.33299999999999996,0.42857142857142855,0.2,0.5,0.5,296.0,333.0,-37.0,-4.0,10.0,377.6,24.7,26.0,394.2,27.8,14.0,7.0,7.0,4.0,7.0,1.0,0.375,0.8,0.0,0.3333333333333333,0.25,281.0,287.0,-6.0,-3.0,8.0,380.6,23.4,13.0,351.8,23.9,22.0,10.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
9,Denver Broncos,AT,San Francisco 49ers,-4.0,4.0,6.0,6.0,0.0,0.5,0.5,0.5,0.5,0.4444444444444444,276.0,262.0,14.0,3.0,14.0,365.7,23.0,25.0,382.9,21.8,18.0,7.0,11.0,2.0,10.0,0.0,0.16699999999999998,0.4,0.0,0.0,0.1111111111111111,255.0,336.0,-81.0,-3.0,15.0,363.3,21.3,12.0,348.8,28.0,22.0,12.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
