,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_New York Jets,Home Team_New York Jets,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_x --KCKansas City Chiefs,Home Team_x --KCKansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_z --NONew Orleans Saints,Home Team_z --NONew Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_z --LARLos Angeles Rams,Home Team_z --LARLos Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Los Angeles Chargers,AT,x --KCKansas City Chiefs,3.5,-3.5,10.0,3.0,0.0,0.769,0.7142857142857143,0.8333333333333334,0.5,0.7777777777777778,366.0,270.0,96.0,3.0,6.0,390.8,28.2,8.0,331.8,20.8,14.0,5.0,9.0,11.0,2.0,0.0,0.846,1.0,0.7142857142857143,1.0,0.9,471.0,351.0,120.0,2.0,1.0,437.5,36.2,30.0,409.6,27.0,16.0,5.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Houston Texans,AT,New York Jets,-6.5,6.5,9.0,4.0,0.0,0.6920000000000001,0.7142857142857143,0.6666666666666666,0.6,0.7,323.0,259.0,64.0,-1.0,13.0,369.5,24.8,13.0,348.8,19.9,16.0,10.0,6.0,4.0,9.0,0.0,0.308,0.3333333333333333,0.2857142857142857,0.2,0.3,270.0,330.0,-60.0,1.0,30.0,296.9,20.8,23.0,375.8,25.4,17.0,10.0,7.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Cleveland Browns,AT,Denver Broncos,2.6,-2.6,5.0,7.0,1.0,0.423,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.375,292.0,332.0,-40.0,1.0,15.0,359.4,22.5,31.0,411.2,25.5,15.0,6.0,9.0,6.0,7.0,0.0,0.462,0.5,0.42857142857142855,0.5,0.4444444444444444,290.0,282.0,8.0,-1.0,16.0,358.6,22.3,24.0,383.4,21.7,20.0,9.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Green Bay Packers,AT,Chicago Bears,5.9,-5.9,5.0,7.0,1.0,0.423,0.8333333333333334,0.0,0.3333333333333333,0.3333333333333333,315.0,307.0,8.0,1.0,11.0,374.4,24.2,16.0,351.2,23.6,21.0,7.0,14.0,9.0,4.0,0.0,0.6920000000000001,0.8571428571428571,0.5,0.75,0.7777777777777778,359.0,247.0,112.0,1.0,22.0,347.2,27.6,3.0,309.9,19.0,10.0,4.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Detroit Lions,AT,Buffalo Bills,2.2,-2.2,5.0,8.0,0.0,0.385,0.42857142857142855,0.3333333333333333,0.25,0.3,271.0,319.0,-48.0,1.0,24.0,330.6,20.8,12.0,348.7,24.5,21.0,13.0,8.0,4.0,9.0,0.0,0.308,0.3333333333333333,0.2857142857142857,0.25,0.3,201.0,320.0,-119.0,-2.0,31.0,292.0,15.5,1.0,290.6,24.6,12.0,6.0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,Tampa Bay Buccaneers,AT,Baltimore Ravens,7.5,-7.5,5.0,8.0,0.0,0.385,0.5714285714285714,0.16666666666666666,0.4,0.4,332.0,383.0,-51.0,-1.0,2.0,430.1,25.5,27.0,387.9,29.5,21.0,9.0,12.0,7.0,6.0,0.0,0.5379999999999999,0.6666666666666666,0.42857142857142855,0.4,0.6,321.0,241.0,80.0,-1.0,12.0,369.6,24.7,2.0,294.0,18.5,20.0,9.0,11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
6,Arizona Cardinals,AT,Atlanta Falcons,9.5,-9.5,3.0,10.0,0.0,0.231,0.14285714285714285,0.3333333333333333,0.5,0.3333333333333333,178.0,327.0,-149.0,-1.0,32.0,242.4,13.7,15.0,350.3,25.2,22.0,6.0,16.0,4.0,9.0,0.0,0.308,0.42857142857142855,0.16666666666666666,0.5,0.4444444444444444,316.0,367.0,-51.0,-5.0,10.0,375.0,24.3,26.0,386.9,28.2,15.0,8.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,
7,Oakland Raiders,AT,Cincinnati Bengals,3.0,-3.0,3.0,10.0,0.0,0.231,0.2857142857142857,0.16666666666666666,0.0,0.2222222222222222,244.0,388.0,-144.0,1.0,21.0,347.5,18.8,28.0,392.2,29.8,27.0,9.0,18.0,5.0,8.0,0.0,0.385,0.42857142857142855,0.3333333333333333,0.25,0.3333333333333333,307.0,397.0,-90.0,-5.0,26.0,328.7,23.6,32.0,421.9,30.5,22.0,8.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Tennessee Titans,AT,New York Giants,2.2,-2.2,7.0,6.0,0.0,0.5379999999999999,0.8333333333333334,0.2857142857142857,0.6,0.45454545454545453,251.0,254.0,-3.0,2.0,28.0,319.1,19.3,9.0,334.3,19.5,15.0,7.0,8.0,5.0,8.0,0.0,0.385,0.3333333333333333,0.42857142857142855,0.2,0.36363636363636365,307.0,331.0,-24.0,2.0,18.0,354.2,23.6,21.0,370.8,25.5,13.0,3.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Miami Dolphins,AT,Minnesota Vikings,7.3,-7.3,7.0,6.0,0.0,0.5379999999999999,0.8571428571428571,0.16666666666666666,0.8,0.6,278.0,333.0,-55.0,2.0,29.0,310.5,21.4,29.0,401.1,25.6,21.0,9.0,12.0,6.0,6.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,282.0,291.0,-9.0,-2.0,17.0,354.4,21.7,5.0,323.6,22.4,15.0,7.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
