,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_New York Jets,Home Team_New York Jets,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Winner
0,Indianapolis Colts,AT,New England Patriots,10.0,-10.0,1.0,3.0,0.0,0.25,0.0,0.5,0.0,0.0,94.0,100.0,-6.0,-2.0,22.0,337.0,23.5,14.0,347.7,21.0,22.0,12.0,10.0,2.0,2.0,0.0,0.5,1.0,0.0,1.0,0.6666666666666666,95.0,84.0,11.0,1.0,21.0,337.3,23.8,26.0,406.3,25.7,20.0,9.0,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1,Tennessee Titans,AT,Buffalo Bills,-3.4,3.4,3.0,1.0,0.0,0.75,1.0,0.5,1.0,0.6666666666666666,75.0,73.0,2.0,3.0,24.0,312.3,18.8,10.0,337.0,16.7,16.0,6.0,10.0,1.0,3.0,0.0,0.25,0.0,0.3333333333333333,1.0,0.0,50.0,106.0,-56.0,-1.0,31.0,220.8,12.5,9.0,336.7,28.0,6.0,5.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
2,Atlanta Falcons,AT,Pittsburgh Steelers,3.0,-3.0,1.0,3.0,0.0,0.25,0.3333333333333333,0.0,0.5,0.3333333333333333,116.0,122.0,-6.0,-2.0,7.0,410.8,29.0,25.0,401.7,28.3,9.0,5.0,4.0,1.0,2.0,1.0,0.375,0.0,1.0,0.0,0.0,102.0,116.0,-14.0,-1.0,6.0,411.0,25.5,27.0,410.3,30.0,15.0,4.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
3,Denver Broncos,AT,New York Jets,1.2,-1.2,2.0,2.0,0.0,0.5,0.6666666666666666,0.0,0.5,0.3333333333333333,84.0,97.0,-13.0,-2.0,13.0,383.3,21.0,12.0,340.3,23.3,12.0,5.0,7.0,1.0,3.0,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,89.0,89.0,0.0,-3.0,27.0,289.3,22.3,7.0,306.3,19.3,8.0,4.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4,Jacksonville Jaguars,AT,Kansas City Chiefs,3.1,-3.1,3.0,1.0,0.0,0.75,0.6666666666666666,1.0,0.0,0.6666666666666666,88.0,56.0,32.0,1.0,14.0,380.0,22.0,4.0,286.3,14.7,9.0,3.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,145.0,115.0,30.0,4.0,8.0,410.3,36.3,31.0,474.0,30.7,9.0,3.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5,Green Bay Packers,AT,Detroit Lions,-1.3,1.3,2.0,1.0,1.0,0.625,1.0,0.0,1.0,0.5,92.0,83.0,9.0,1.0,16.0,371.0,23.0,21.0,386.7,27.7,12.0,5.0,7.0,1.0,3.0,0.0,0.25,0.5,0.0,1.0,0.0,94.0,114.0,-20.0,-1.0,11.0,390.5,23.5,6.0,301.3,29.3,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
6,Baltimore Ravens,AT,Cleveland Browns,-3.1,3.1,3.0,1.0,0.0,0.75,1.0,0.5,0.5,0.75,123.0,65.0,58.0,2.0,10.0,396.8,30.8,1.0,273.0,17.0,13.0,3.0,10.0,1.0,2.0,1.0,0.375,1.0,0.0,1.0,0.5,102.0,104.0,-2.0,-1.0,17.0,366.0,25.5,11.0,338.3,19.7,11.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
7,New York Giants,AT,Carolina Panthers,6.9,-6.9,1.0,3.0,0.0,0.25,0.0,0.5,0.0,0.0,73.0,95.0,-22.0,-1.0,23.0,314.3,18.3,13.0,343.3,20.7,13.0,5.0,8.0,2.0,1.0,0.0,0.667,1.0,0.0,0.0,0.5,71.0,60.0,11.0,1.0,30.0,369.7,23.7,17.0,356.7,20.0,13.0,5.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,Miami Dolphins,AT,Cincinnati Bengals,6.3,-6.3,3.0,1.0,0.0,0.75,1.0,0.5,0.5,0.75,82.0,90.0,-8.0,-1.0,29.0,286.0,20.5,19.0,377.3,17.3,12.0,7.0,5.0,3.0,1.0,0.0,0.75,1.0,0.6666666666666666,1.0,1.0,126.0,113.0,13.0,1.0,15.0,376.5,31.5,24.0,394.0,25.7,11.0,6.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
9,Oakland Raiders,AT,Los Angeles Chargers,5.7,-5.7,1.0,3.0,0.0,0.25,0.5,0.0,0.0,0.3333333333333333,97.0,123.0,-26.0,1.0,2.0,441.8,24.3,18.0,374.3,27.0,14.0,4.0,10.0,2.0,2.0,0.0,0.5,0.5,0.5,0.0,0.5,111.0,120.0,-9.0,1.0,9.0,403.5,27.8,22.0,392.0,31.0,10.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
