,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_New York Jets,Home Team_New York Jets,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Philadelphia Eagles,AT,New York Giants,-1.7,1.7,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,137.0,117.0,20.0,1.0,2,366.3,22.8,30.0,352.8,19.5,16.0,7.0,9.0,1.0,5.0,0.0,0.16699999999999998,0.0,0.3333333333333333,0.0,0.0,117.0,162.0,-45.0,-3.0,5,348.3,19.5,31.0,358.0,27.0,14.0,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
1,Tampa Bay Buccaneers,AT,Atlanta Falcons,3.1,-3.1,2.0,2.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,112.0,139.0,-27.0,-2.0,22,432.8,28.0,13.0,445.8,34.8,13.0,6.0,7.0,1.0,4.0,0.0,0.2,0.3333333333333333,0.0,0.5,0.3333333333333333,133.0,163.0,-30.0,-3.0,14,393.4,26.6,27.0,398.6,32.6,11.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0
2,Carolina Panthers,AT,Washington Redskins,1.2,-1.2,3.0,1.0,0.0,0.75,1.0,0.0,0.0,0.6666666666666666,104.0,91.0,13.0,2.0,27,364.8,26.0,4.0,375.5,22.8,14.0,6.0,8.0,2.0,2.0,0.0,0.5,0.5,0.5,1.0,0.6666666666666666,83.0,87.0,-4.0,-1.0,29,358.0,20.8,2.0,320.3,21.8,23.0,12.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3,Seattle Seahawks,AT,Oakland Raiders,-2.5,2.5,2.0,3.0,0.0,0.4,0.5,0.3333333333333333,0.5,0.5,116.0,114.0,2.0,-1.0,24,316.2,23.2,12.0,355.0,22.8,18.0,8.0,10.0,1.0,4.0,0.0,0.2,0.5,0.0,0.0,0.25,107.0,149.0,-42.0,-1.0,7,411.2,21.4,29.0,404.4,29.8,22.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0
4,Indianapolis Colts,AT,New York Jets,2.4,-2.4,1.0,4.0,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,118.0,138.0,-20.0,-3.0,20,357.4,23.6,22.0,389.4,27.6,27.0,18.0,9.0,2.0,3.0,0.0,0.4,0.5,0.3333333333333333,0.0,0.25,123.0,105.0,18.0,1.0,23,333.8,24.6,19.0,371.6,21.0,18.0,14.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5,Arizona Cardinals,AT,Minnesota Vikings,10.1,-10.1,1.0,4.0,0.0,0.2,0.0,0.5,0.3333333333333333,0.2,65.0,112.0,-47.0,1.0,32,210.8,13.0,23.0,391.0,22.4,19.0,14.0,5.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,0.6666666666666666,113.0,131.0,-18.0,1.0,15,387.2,22.6,20.0,378.0,26.2,14.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
6,Pittsburgh Steelers,AT,Cincinnati Bengals,1.6,-1.6,2.0,2.0,1.0,0.5,0.3333333333333333,1.0,0.0,0.0,143.0,133.0,10.0,1.0,9,405.0,28.6,28.0,401.2,26.6,16.0,6.0,10.0,4.0,1.0,0.0,0.8,1.0,0.6666666666666666,1.0,1.0,153.0,130.0,23.0,2.0,18,367.6,30.6,24.0,394.8,26.0,16.0,10.0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
7,Los Angeles Chargers,AT,Cleveland Browns,-0.2,0.2,3.0,2.0,0.0,0.6,0.6666666666666666,0.5,0.5,0.6666666666666666,137.0,130.0,7.0,2.0,8,405.2,27.4,15.0,365.8,26.0,13.0,8.0,5.0,2.0,2.0,1.0,0.5,1.0,0.0,1.0,0.6666666666666666,114.0,113.0,1.0,1.0,17,376.0,22.8,26.0,398.0,22.6,11.0,6.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
8,Buffalo Bills,AT,Houston Texans,10.0,-10.0,2.0,3.0,0.0,0.4,0.5,0.3333333333333333,1.0,0.3333333333333333,63.0,118.0,-55.0,1.0,31,221.2,12.6,7.0,330.8,23.6,8.0,7.0,1.0,2.0,3.0,0.0,0.4,0.5,0.3333333333333333,0.5,0.3333333333333333,115.0,124.0,-9.0,2.0,4,423.4,23.0,14.0,364.2,24.8,19.0,11.0,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
9,Chicago Bears,AT,Miami Dolphins,-3.5,3.5,3.0,1.0,0.0,0.75,1.0,0.5,0.0,0.75,111.0,65.0,46.0,3.0,30,341.0,27.8,1.0,294.5,16.3,9.0,4.0,5.0,3.0,2.0,0.0,0.6,1.0,0.3333333333333333,0.5,0.6,99.0,117.0,-18.0,-2.0,28,288.2,19.8,21.0,382.6,23.4,17.0,10.0,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
