,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_New York Jets,Home Team_New York Jets,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_New York Giants,Home Team_New York Giants,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers,Winner
0,Miami Dolphins,AT,Houston Texans,7.4,-7.4,4.0,3.0,0.0,0.5710000000000001,0.75,0.3333333333333333,0.5,0.6,151.0,177.0,-26.0,-1.0,22.0,329.1,21.6,28.0,405.3,25.3,19.0,10.0,9.0,4.0,3.0,0.0,0.5710000000000001,0.6666666666666666,0.5,0.6666666666666666,0.6,155.0,144.0,11.0,4.0,10.0,372.1,22.1,14.0,329.9,20.6,21.0,13.0,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1,Philadelphia Eagles,AT,Jacksonville Jaguars,-3.1,3.1,3.0,4.0,0.0,0.429,0.5,0.3333333333333333,1.0,0.4,154.0,138.0,16.0,-1.0,12.0,362.9,22.0,18.0,355.4,19.7,17.0,6.0,11.0,3.0,4.0,0.0,0.429,0.5,0.3333333333333333,0.0,0.4,116.0,146.0,-30.0,-3.0,18.0,355.0,16.6,6.0,301.6,20.9,19.0,8.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
2,Denver Broncos,AT,Kansas City Chiefs,10.0,-10.0,3.0,4.0,0.0,0.429,0.5,0.3333333333333333,0.5,0.25,165.0,164.0,1.0,1.0,9.0,376.4,23.6,25.0,378.0,23.4,20.0,11.0,9.0,6.0,1.0,0.0,0.857,1.0,0.75,1.0,0.8333333333333334,260.0,182.0,78.0,1.0,2.0,437.4,37.1,32.0,435.4,26.0,15.0,3.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
3,Cleveland Browns,AT,Pittsburgh Steelers,8.0,-8.0,2.0,4.0,1.0,0.35700000000000004,0.6666666666666666,0.0,1.0,0.5,151.0,177.0,-26.0,-2.0,17.0,357.4,21.6,29.0,413.6,25.3,9.0,3.0,6.0,3.0,2.0,1.0,0.583,0.3333333333333333,1.0,0.5,0.3333333333333333,171.0,154.0,17.0,2.0,16.0,417.7,28.5,12.0,380.2,25.7,15.0,4.0,11.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
4,Washington Redskins,AT,New York Giants,-0.8,0.8,4.0,2.0,0.0,0.667,0.75,0.5,1.0,0.8,126.0,121.0,5.0,2.0,28.0,337.5,21.0,1.0,325.7,20.2,20.0,9.0,11.0,1.0,6.0,0.0,0.14300000000000002,0.0,0.25,0.0,0.0,137.0,185.0,-48.0,-4.0,14.0,360.4,19.6,21.0,367.3,26.4,10.0,1.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
5,Seattle Seahawks,AT,Detroit Lions,3.1,-3.1,3.0,3.0,0.0,0.5,0.5,0.5,0.5,0.5,143.0,117.0,26.0,1.0,30.0,325.0,23.8,2.0,326.7,19.5,17.0,8.0,9.0,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,157.0,158.0,-1.0,2.0,24.0,380.5,26.2,8.0,360.2,26.3,6.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0
6,Tampa Bay Buccaneers,AT,Cincinnati Bengals,4.5,-4.5,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,167.0,196.0,-29.0,1.0,6.0,449.5,27.8,19.0,417.5,32.7,12.0,3.0,9.0,4.0,3.0,0.0,0.5710000000000001,0.6666666666666666,0.5,0.5,0.6,184.0,203.0,-19.0,-2.0,20.0,336.0,26.3,31.0,429.4,29.0,14.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
7,New York Jets,AT,Chicago Bears,7.1,-7.1,3.0,4.0,0.0,0.429,0.5,0.3333333333333333,0.0,0.4,182.0,176.0,6.0,-1.0,21.0,329.4,26.0,23.0,371.7,25.1,14.0,8.0,6.0,3.0,3.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.75,170.0,134.0,36.0,-2.0,23.0,380.7,28.3,5.0,350.0,22.3,7.0,3.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8,Baltimore Ravens,AT,Carolina Panthers,-1.7,1.7,4.0,3.0,0.0,0.5710000000000001,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,176.0,101.0,75.0,-1.0,5.0,387.0,25.1,3.0,280.6,14.4,16.0,5.0,11.0,4.0,2.0,0.0,0.667,1.0,0.3333333333333333,0.0,0.6,142.0,131.0,11.0,1.0,27.0,363.3,23.7,7.0,355.3,21.8,14.0,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
9,Indianapolis Colts,AT,Oakland Raiders,-3.0,3.0,2.0,5.0,0.0,0.28600000000000003,0.3333333333333333,0.25,0.0,0.2,189.0,185.0,4.0,1.0,11.0,370.1,27.0,24.0,374.9,26.4,21.0,10.0,11.0,1.0,5.0,0.0,0.16699999999999998,0.3333333333333333,0.0,0.0,0.25,110.0,176.0,-66.0,-2.0,25.0,373.5,18.3,16.0,398.5,29.3,21.0,10.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0
