,Away Team,AT,Home Team,Away Line,Home Line,AwT_W,AwT_L,AwT_T,AwT_Pct,AwT_HmPct,AwT_AwPct,AwT_DvPct,AwT_CnfPct,AwT_PF,AwT_PA,AwT_PtDiff,AwT_Strk,AwT_OffRk(yds),AwT_OffYds/G,AwT_PF/G,AwT_DefRk(yds),AwT_YdsAlwd/G,AwT_PtsAlwd/G,AwT_TotInj,AwT_NonIR,AwT_IR,HmT_W,HmT_L,HmT_T,HmT_Pct,HmT_HmPct,HmT_AwPct,HmT_DvPct,HmT_CnfPct,HmT_PF,HmT_PA,HmT_PtDiff,HmT_Strk,HmT_OffRk(yds),HmT_OffYds/G,HmT_PF/G,HmT_DefRk(yds),HmT_YdsAlwd/G,HmT_PtsAlwd/G,HmT_TotInj,HmT_NonIR,HmT_IR,Away Team_New England Patriots,Home Team_New England Patriots,Away Team_Miami Dolphins,Home Team_Miami Dolphins,Away Team_New York Jets,Home Team_New York Jets,Away Team_Buffalo Bills,Home Team_Buffalo Bills,Away Team_Pittsburgh Steelers,Home Team_Pittsburgh Steelers,Away Team_Cincinnati Bengals,Home Team_Cincinnati Bengals,Away Team_Baltimore Ravens,Home Team_Baltimore Ravens,Away Team_Cleveland Browns,Home Team_Cleveland Browns,Away Team_Houston Texans,Home Team_Houston Texans,Away Team_Tennessee Titans,Home Team_Tennessee Titans,Away Team_Jacksonville Jaguars,Home Team_Jacksonville Jaguars,Away Team_Indianapolis Colts,Home Team_Indianapolis Colts,Away Team_Kansas City Chiefs,Home Team_Kansas City Chiefs,Away Team_Los Angeles Chargers,Home Team_Los Angeles Chargers,Away Team_Denver Broncos,Home Team_Denver Broncos,Away Team_Oakland Raiders,Home Team_Oakland Raiders,Away Team_Washington Redskins,Home Team_Washington Redskins,Away Team_Philadelphia Eagles,Home Team_Philadelphia Eagles,Away Team_Dallas Cowboys,Home Team_Dallas Cowboys,Away Team_New York Giants,Home Team_New York Giants,Away Team_Chicago Bears,Home Team_Chicago Bears,Away Team_Minnesota Vikings,Home Team_Minnesota Vikings,Away Team_Green Bay Packers,Home Team_Green Bay Packers,Away Team_Detroit Lions,Home Team_Detroit Lions,Away Team_New Orleans Saints,Home Team_New Orleans Saints,Away Team_Carolina Panthers,Home Team_Carolina Panthers,Away Team_Atlanta Falcons,Home Team_Atlanta Falcons,Away Team_Tampa Bay Buccaneers,Home Team_Tampa Bay Buccaneers,Away Team_Los Angeles Rams,Home Team_Los Angeles Rams,Away Team_Seattle Seahawks,Home Team_Seattle Seahawks,Away Team_Arizona Cardinals,Home Team_Arizona Cardinals,Away Team_San Francisco 49ers,Home Team_San Francisco 49ers
0,Oakland Raiders,AT,San Francisco 49ers,3.0,-3.0,1.0,6.0,0.0,0.14300000000000002,0.25,0.0,0.0,0.2,138.0,218.0,-80.0,-3.0,24.0,369.7,19.7,19.0,407.4,31.1,19.0,7.0,12.0,1.0,7.0,0.0,0.125,0.3333333333333333,0.0,0.0,0.16666666666666666,173.0,236.0,-63.0,-6.0,17.0,348.3,21.6,21.0,365.4,29.5,18.0,11.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Chicago Bears,AT,Buffalo Bills,-9.9,9.9,4.0,3.0,0.0,0.5710000000000001,0.75,0.3333333333333333,0.0,0.75,194.0,144.0,50.0,1.0,21.0,382.7,27.7,4.0,329.6,20.6,10.0,6.0,4.0,2.0,6.0,0.0,0.25,0.3333333333333333,0.2,0.0,0.16666666666666666,87.0,200.0,-113.0,-3.0,30.0,246.4,10.9,14.0,329.1,25.0,7.0,6.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tampa Bay Buccaneers,AT,Carolina Panthers,6.6,-6.6,3.0,4.0,0.0,0.429,0.6666666666666666,0.25,0.5,0.5,201.0,233.0,-32.0,-1.0,3.0,467.6,28.7,20.0,415.3,33.3,14.0,5.0,9.0,5.0,2.0,0.0,0.7140000000000001,1.0,0.3333333333333333,0.0,0.6,178.0,152.0,26.0,2.0,25.0,366.6,25.4,8.0,351.0,21.7,14.0,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,Kansas City Chiefs,AT,Cleveland Browns,-8.6,8.6,7.0,1.0,0.0,0.875,1.0,0.75,1.0,0.8571428571428571,290.0,205.0,85.0,2.0,2.0,425.3,36.3,31.0,432.4,25.6,18.0,6.0,12.0,2.0,5.0,1.0,0.313,0.6666666666666666,0.0,0.5,0.4,169.0,210.0,-41.0,-3.0,19.0,342.4,21.1,30.0,414.5,26.3,10.0,4.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,New York Jets,AT,Miami Dolphins,2.6,-2.6,3.0,5.0,0.0,0.375,0.5,0.25,0.0,0.4,192.0,200.0,-8.0,-2.0,26.0,314.1,24.0,27.0,374.6,25.0,14.0,8.0,6.0,4.0,4.0,0.0,0.5,0.75,0.25,0.5,0.5,174.0,219.0,-45.0,-2.0,22.0,334.3,21.8,29.0,408.0,27.4,15.0,5.0,10.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Pittsburgh Steelers,AT,Baltimore Ravens,3.0,-3.0,4.0,2.0,1.0,0.643,0.5,1.0,0.6666666666666666,0.5,204.0,172.0,32.0,3.0,11.0,418.1,29.1,10.0,359.7,24.6,15.0,4.0,11.0,4.0,4.0,0.0,0.5,0.6666666666666666,0.4,0.3333333333333333,0.6666666666666666,197.0,137.0,60.0,-2.0,8.0,379.3,24.6,5.0,293.8,17.1,17.0,5.0,12.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Detroit Lions,AT,Minnesota Vikings,5.0,-5.0,3.0,4.0,0.0,0.429,0.5,0.3333333333333333,1.0,0.25,171.0,186.0,-15.0,-1.0,23.0,373.4,24.4,12.0,367.7,26.6,8.0,4.0,4.0,4.0,3.0,1.0,0.563,0.5,0.6666666666666666,1.0,0.6,197.0,195.0,2.0,-1.0,4.0,385.8,24.6,17.0,336.4,24.4,14.0,7.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Atlanta Falcons,AT,Washington Redskins,1.5,-1.5,3.0,4.0,0.0,0.429,0.6,0.0,0.6666666666666666,0.6,190.0,212.0,-22.0,2.0,16.0,401.0,27.1,23.0,419.4,30.3,8.0,2.0,6.0,5.0,2.0,0.0,0.7140000000000001,0.75,0.6666666666666666,1.0,0.8333333333333334,146.0,134.0,12.0,3.0,27.0,340.7,20.9,2.0,322.4,19.1,19.0,7.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Houston Texans,AT,Denver Broncos,1.0,-1.0,5.0,3.0,0.0,0.625,0.75,0.5,0.6666666666666666,0.6666666666666666,197.0,167.0,30.0,5.0,9.0,379.0,24.6,16.0,334.9,20.9,20.0,12.0,8.0,3.0,5.0,0.0,0.375,0.5,0.25,0.3333333333333333,0.2,188.0,194.0,-6.0,-1.0,7.0,380.8,23.5,26.0,373.3,24.3,19.0,11.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Los Angeles Chargers,AT,Seattle Seahawks,1.5,-1.5,5.0,2.0,0.0,0.7140000000000001,0.75,0.6666666666666666,0.5,0.8,195.0,163.0,32.0,4.0,15.0,402.7,27.9,11.0,362.3,23.3,9.0,4.0,5.0,4.0,3.0,0.0,0.5710000000000001,0.5,0.6,0.5,0.6,171.0,131.0,40.0,2.0,28.0,337.6,24.4,3.0,327.3,18.7,14.0,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
