,Team,Total Injured,Non-IR,IR
0,Washington,25,13,12
1,Baltimore,23,12,11
2,Indianapolis,23,12,11
3,Tampa Bay,22,11,11
4,Jacksonville,21,8,13
5,Oakland,21,9,12
6,Cincinnati,21,13,8
7,Dallas,19,11,8
8,Philadelphia,19,8,11
9,New Orleans,18,7,11
10,Miami,18,9,9
11,Arizona,18,11,7
12,Denver,18,10,8
13,New England,17,6,11
14,Kansas City,17,6,11
15,Pittsburgh,16,5,11
16,Houston,16,10,6
17,Minnesota,16,9,7
18,Carolina,16,7,9
19,Green Bay,16,9,7
20,Seattle,15,6,9
21,NY Giants,15,7,8
22,Detroit,14,10,4
23,LA Chargers,14,7,7
24,Tennessee,14,8,6
25,San Francisco,12,5,7
26,Atlanta,12,7,5
27,Cleveland,11,3,8
28,Buffalo,11,8,3
29,LA Rams,10,2,8
30,Chicago,9,5,4
31,NY Jets,9,4,5
