Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Deion Jones,ATL,LB,Foot,I-R,Jones has landed on injured reserve with a foot injury and it is unknown if he will be activated against the Browns in Week 10.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Calvin Ridley,ATL,WR,Ankle,questionable,"Ridley left the last game with a bone bruise in his ankle, leaving his availability for Week 7 against the Giants in question."
Grady Jarrett,ATL,DT,Ankle,questionable,Jarrett is sidelined due to a sprained ankle and it is uncertain if he will return Week 7 against the Giants.
Devonta Freeman,ATL,RB,Foot,doubtful,Freeman was held out of the previous contest with a bone bruise in his foot and is not expected to suit up Week 7 against the Giants.
Matt Bryant,ATL,K,Hamstring,out,Bryant was forced from the last game due to an injured hamstring and will not be available against the Giants in Week 7.
Jack Crawford,ATL,DL,Head,questionable,Crawford left the last game due to a head injury and it is uncertain if he will be available for Week 7 against the Giants.
Mohamed Sanu,ATL,WR,Hip,questionable,Sanu departed the last game due to a hip injury and it is unclear if he will participate in Week 7 against the Giants.
Derrick Shelby,ATL,DE,Groin,questionable,Shelby has missed his last four games due to a groin injury and it is unknown if he will participate in Week 7 against the Giants.
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Vlad Ducasse,BUF,G,Knee,questionable,Ducasse left the last game due to a knee injury and it is unknown if he will suit up against the Colts in Week 7.
Josh Allen,BUF,QB,Elbow,out,Allen exited the previous game due to a injured ulnar collateral ligament in his right elbow and his status is considered week-to-week.
Trent Murphy,BUF,DE,Undisclosed,questionable,Murphy is dealing with an undefined injury and it is unknown if he will participate in Week 7 against the Colts.
Taiwan Jones,BUF,RB,Undisclosed,questionable,Jones has an unspecified injury and it is unclear if he will play against the Colts in Week 7.
Marcus Murphy,BUF,RB,Ribs,questionable,Murphy has sat out the previous two games due to a rib injury and it is unclear if he will play Week 7 against the Colts.
Da'Norris Searcy,CAR,S,Concussion,I-R,Searcy has been placed on injured reserve after suffering a concussion.
