RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Baltimore,2745,305.0,1847,205.2,898,99.8,160,17.8
2,Jacksonville,2872,319.1,1805,200.6,1067,118.6,199,22.1
3,Chicago,2876,319.6,2120,235.6,756,84.0,175,19.4
4,Minnesota,2900,322.2,2100,233.3,800,88.9,204,22.7
5,Tennessee,2952,328.0,2054,228.2,898,99.8,151,16.8
6,Dallas,2957,328.6,2087,231.9,870,96.7,171,19.0
7,Buffalo,3022,302.2,2024,202.4,998,99.8,251,25.1
8,Pittsburgh,3025,336.1,2208,245.3,817,90.8,209,23.2
9,Houston,3027,336.3,2191,243.4,836,92.9,184,20.4
10,Green Bay,3113,345.9,2025,225.0,1088,120.9,216,24.0
11,Seattle,3122,346.9,2055,228.3,1067,118.6,192,21.3
12,LA Chargers,3209,356.6,2196,244.0,1013,112.6,186,20.7
13,Carolina,3215,357.2,2324,258.2,891,99.0,232,25.8
14,Philadelphia,3233,359.2,2392,265.8,841,93.4,183,20.3
15,Washington,3249,361.0,2431,270.1,818,90.9,175,19.4
16,Detroit,3259,362.1,2065,229.4,1194,132.7,244,27.1
17,Arizona,3272,363.6,2009,223.2,1263,140.3,225,25.0
18,Denver,3276,364.0,2092,232.4,1184,131.6,213,23.7
19,NY Giants,3305,367.2,2202,244.7,1103,122.6,228,25.3
20,Indianapolis,3386,376.2,2416,268.4,970,107.8,239,26.6
20,New Orleans,3386,376.2,2665,296.1,721,80.1,232,25.8
22,San Francisco,3442,344.2,2420,242.0,1022,102.2,266,26.6
23,LA Rams,3552,355.2,2331,233.1,1221,122.1,231,23.1
24,Oakland,3592,399.1,2323,258.1,1269,141.0,272,30.2
25,Tampa Bay,3600,400.0,2627,291.9,973,108.1,291,32.3
26,NY Jets,3616,361.6,2421,242.1,1195,119.5,254,25.4
27,Atlanta,3729,414.3,2650,294.4,1079,119.9,254,28.2
28,New England,3814,381.4,2703,270.3,1111,111.1,236,23.6
29,Miami,3923,392.3,2503,250.3,1420,142.0,256,25.6
30,Cincinnati,4091,454.6,2820,313.3,1271,141.2,288,32.0
31,Kansas City,4107,410.7,2890,289.0,1217,121.7,240,24.0
32,Cleveland,4197,419.7,2876,287.6,1321,132.1,263,26.3
